# time sw pw pn awn ans aws Jwn Kwn lwns cwns KNwns KGwns vawx vawy vawz vanx vany vanz vawnx vawny vawnz vawnsx vawnsy vawnsz Gwnxx Gwnyy Gwnzz Gwnxy Gwnxz Gwnyz Gwsxx Gwsyy Gwszz Gwsxy Gwsxz Gwsyz Gnsxx Gnsyy Gnszz Gnsxy Gnsxz Gnsyz trawn trJwn trRwn wwndnw wwnsdnwn Jwnwwndnw Euler Kn Jn An
-1.712846437851105351e+06 2.666942999999999486e+01 -1.900000000023283064e+00 -2.299999999959254637e-01 -2.999999999883584678e-01 0.000000000000000000e+00 -5.000000000000000000e+00 4.999999998835846782e-02 -1.499999999577994458e-02 0.000000000000000000e+00 0.000000000000000000e+00 -8.016759999999999164e-02 4.773370000000000390e-02 -1.075000000014370016e-03 8.000000000000000000e+00 8.000000000029103830e-01 -1.199999998391376721e-05 -2.999999999883584678e-01 1.700000000000000000e+01 9.799999999948738605e-05 -5.699999999997373834e-05 -5.899999999314786692e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.000000000116415322e-01 -1.000000000058207661e-01 1.100000000005820766e+00 -1.119999999967546955e-02 -1.169999999983701855e-01 -1.491199999964010203e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.400000000023283064e+00 -1.800000000046566129e+00 2.400000000023283064e+00 5.999999999630745151e-03 -5.000000000109139364e-02 -3.779999999750316420e-03 -1.000000000000000000e+00 -5.000000000291038305e-02 4.623000000137835741e+00 6.800000000239947440e-05 0.000000000000000000e+00 -5.700000000530280886e-05 0.000000000000000000e+00 -1.000000000931322575e-02 3.000000000029103830e-01 0.000000000000000000e+00
-3.429193237636626698e+06 2.691550000000000153e+01 -3.600000000034924597e+00 1.050000000002910383e+00 1.999999999534338713e-01 0.000000000000000000e+00 1.200000000000000000e+01 -3.999999999359715730e-02 -1.900000000023283064e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.335999999966475116e-03 3.000000000000000000e+00 -2.000000000116415322e-01 -1.790000000013947101e-03 -8.100000000122236088e-01 -1.000000000000000000e+00 1.100000000042733461e-05 -1.300000000120649091e-05 3.000000000419333901e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.200000000186264515e-01 4.799999999959254637e-01 -1.540000000008149073e+00 -1.260000000024774636e-02 -7.334000000082596671e-02 1.180000000113068381e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.399999999994179234e+00 -6.000000000349245965e-01 0.000000000000000000e+00 1.800000000059753802e-02 -4.200000000014370016e-02 1.800000000002910383e-02 2.999999999883584678e-01 -2.999999999883584678e-02 3.729999999981373549e+01 2.999999999531155481e-07 0.000000000000000000e+00 1.980000000045833985e-04 0.000000000000000000e+00 5.700000000069849193e-02 -1.700000000055297278e-01 9.000000000232830644e-01
-3.848226571194974240e+06 2.390931999999999746e+01 -7.000000000116415322e-01 7.000000000698491931e-02 5.000000000000000000e-01 0.000000000000000000e+00 -3.000000000000000000e+01 -3.300000000017462298e-01 -2.299999999995634425e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.599999999925444172e-04 -3.000000000000000000e+00 1.399999999994179234e+00 -1.754999999974415914e-03 5.000000000145519152e-01 -2.000000000000000000e+00 2.363000000000781142e-04 -1.199999999990097876e-05 -3.669999999900142029e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000000000e+00 5.000000000000000000e-01 2.999999999883584678e-01 -1.399999999966894393e-02 -1.669999999994615791e-01 -4.689999999754945748e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.799999999988358468e+00 0.000000000000000000e+00 -2.400000000022828317e-02 2.399999999988722266e-02 4.547473508864641190e-13 1.999999999534338713e-01 -1.899999999950523488e-01 4.400000000023283064e+00 1.609999999985234354e-04 0.000000000000000000e+00 1.959999999989747721e-04 0.000000000000000000e+00 -1.800000000002910383e-01 3.699999999953433871e-01 -2.000000000116415322e-01
-4.903422872729471885e+06 2.437954000000000576e+01 -1.000000000000000000e+00 -3.199999999924330041e-01 -9.999999997671693563e-02 0.000000000000000000e+00 -6.000000000000000000e+00 6.999999999970896170e-01 -1.800000000002910383e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.587999999998146450e-03 -8.000000000000000000e+00 -1.100000000005820766e+00 5.199999999376814230e-04 9.999999997671693563e-02 -1.000000000000000000e+01 -2.620000000241873295e-05 -1.539999999966568112e-05 -8.900000002753927220e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000058207661e-01 7.999999999883584678e-01 -1.000000000000000000e+00 2.699999999958890839e-02 1.109999999948740879e-02 7.030000000668223947e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000349245965e-01 -6.000000000349245965e-01 -1.200000000011641532e+00 1.800000000037016434e-02 1.500000000010004442e-02 0.000000000000000000e+00 -3.000000000174622983e-01 8.000000000174622983e-02 -5.089999999967403710e+00 4.519999999885726538e-05 0.000000000000000000e+00 -6.700000000137151801e-05 0.000000000000000000e+00 1.800000000002910383e-01 3.000000000029103830e-01 3.999999999650754035e-01
-5.676917694630580954e+06 2.458145999999999987e+01 -7.999999999883584678e-01 1.399999999921419658e-01 1.800000000046566129e+00 0.000000000000000000e+00 1.800000000000000000e+01 0.000000000000000000e+00 1.000000000058207661e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.906839999999999702e-02 -3.110369999999999802e-02 9.928000000059000740e-04 -3.000000000000000000e+00 6.000000000058207661e-01 -3.822999999911758096e-04 -6.000000000058207661e-01 -2.000000000000000000e+00 -5.730000000037094310e-05 -7.349999999917145033e-05 -1.400000000089107743e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000058207661e-01 -3.999999999941792339e-01 -6.999999999825377017e-01 2.460000000064610504e-02 1.309999999994033715e-01 -1.100000000042200554e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.499999999941792339e+00 -2.000000000000000000e+00 -2.399999999965984898e-02 2.700000000000102318e-02 2.999999998110070010e-04 3.000000000174622983e-01 -4.000000000087311491e-02 -7.099999999976716936e+00 -1.179999999978420533e-04 0.000000000000000000e+00 3.138000000006968548e-04 0.000000000000000000e+00 -1.200000000026193447e-01 1.699999999997089617e+00 -3.000000000465661287e-01
-6.932247389949930832e+06 2.457602000000000331e+01 5.000000000000000000e-01 3.100000000049476512e-01 2.999999999883584678e-01 0.000000000000000000e+00 -1.200000000000000000e+01 3.300000000017462298e-01 1.300000000010186341e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -7.800000000202089723e-04 2.000000000000000000e+00 1.000000000000000000e+00 3.552713678800500929e-15 1.999999999970896170e-01 -1.300000000000000000e+01 -6.949999998617784058e-06 3.300000000017178081e-05 -8.400000000108320819e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.999999999941792339e-01 3.999999999941792339e-01 -7.999999999883584678e-01 -3.299999998944258550e-03 -1.499999999987267074e-02 -1.590000000032887328e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.820766091346740723e-11 0.000000000000000000e+00 -1.199999999953433871e+00 -1.200000000062573235e-02 -1.800000000002910383e-02 4.200000000059844751e-02 0.000000000000000000e+00 9.000000000378349796e-02 -5.000000000000000000e-01 -3.400000000119973720e-05 0.000000000000000000e+00 3.800000000033776359e-04 0.000000000000000000e+00 1.499999999941792339e-01 -1.049999999988358468e+00 -1.299999999930150807e+00
-8.089158610322664492e+06 2.361578999999999695e+01 -1.899999999965075403e+00 -5.559999999968567863e-01 1.799999999988358468e+00 0.000000000000000000e+00 -2.400000000000000000e+01 -5.199999999895226210e-01 -2.216749999821186066e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.982550000000000145e-01 5.742681000000000868e-02 1.438999999983536782e-03 -5.000000000000000000e+00 5.000000000000000000e-01 -1.069000000025965846e-03 -5.000000000000000000e-01 0.000000000000000000e+00 -7.300000000132200739e-05 -6.699999999915107196e-05 2.189999999657743501e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000058207661e-01 -5.000000000000000000e-01 1.199999999982537702e+00 9.000000000014551915e-03 6.000000001222360879e-03 -1.199999999989813659e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.800000000046566129e+00 5.999999999767169356e-01 1.799999999988358468e+00 -2.399999999988722266e-02 3.340000000002874003e-02 -3.960000000006402843e-02 -1.200000000011641532e+00 -8.999999999650754035e-02 -1.250000000000000000e+01 1.800000000073964657e-05 0.000000000000000000e+00 4.148999999991076493e-04 0.000000000000000000e+00 5.379409999966621399e+03 8.999999999650754035e-02 -2.900000000023283064e+00
