# time,sw,pw,pn,awn,ans,aws,Jwn,Kwn,lwns,cwns,KNwns,KGwns,vawx,vawy,vawz,vanx,vany,vanz,vawnx,vawny,vawnz,vawnsx,vawnsy,vawnsz,Gwnxx,Gwnyy,Gwnzz,Gwnxy,Gwnxz,Gwnyz,Gwsxx,Gwsyy,Gwszz,Gwsxy,Gwsxz,Gwsyz,Gnsxx,Gnsyy,Gnszz,Gnsxy,Gnsxz,Gnsyz,trawn,trJwn,trRwn,wwndnw,wwnsdnwn,Jwnwwndnw,Euler,Kn,Jn,An
7.487840547589242458e+07, 8.806770000000000209e+01, 1.700000000000000000e+01, 1.300000000046566129e+00, 1.200000000000000000e+01, 0.000000000000000000e+00, 6.000000000000000000e+01, 1.000000000931322575e-01, 1.177999999746680260e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.710000000002764864e-03, 5.000000000000000000e+01, 4.899999999906867743e+00, 1.740000000687302872e-04, 7.899999999906867743e+00, 8.000000000000000000e+00, 1.751000000140834345e-04, 1.631300000113355964e-04, 6.180000000313157216e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.699999999953433871e+00, 6.999999999534338713e-01, 1.700000000000000000e+01, 5.500000000211002771e-02, 1.560000000245054252e-02, 6.600000000617001206e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+01, 6.000000000000000000e+01, 1.000000000000000000e+02, 5.799999999726423994e-02, 1.600000000107684173e-01, 3.999999999723513611e-02, 8.000000000000000000e+00, 3.999999999068677425e-01, 1.242400000002235174e+02, 3.130700000042452302e-04, 0.000000000000000000e+00, 2.620000000206346158e-04, 0.000000000000000000e+00, 2.511386619995117188e+06, 1.500000000000000000e+00, 1.000000000000000000e+01
1.377352372011580169e+08, 8.542570999999999515e+01, 2.000000000000000000e+01, 2.800000000046566129e+00, 8.000000000000000000e+00, 0.000000000000000000e+00, 1.600000000000000000e+02, 3.999999999068677425e-01, 2.543999999994412065e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.870000000461004674e-04, 6.000000000000000000e+01, 8.999999999068677425e-01, 4.659000000174273737e-03, 3.699999999953433871e+00, 8.000000000000000000e+00, 7.339999999977919742e-05, 1.713000001757336577e-05, 8.330000000000836735e-05, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.899999999906867743e+00, 1.100000000093132257e+00, 5.100000000093132257e+00, 1.018000000040046871e-01, 3.800000000410364009e-02, 1.899999995657708496e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+01, 8.000000000000000000e+01, 0.000000000000000000e+00, 1.799999999930150807e-01, 2.400000000043291948e-01, 3.999999999666670192e-02, 1.400000000000000000e+01, 7.000000000698491931e-01, 6.210000000149011612e+01, 7.640999999978248525e-04, 0.000000000000000000e+00, 1.276410000009775558e-03, 0.000000000000000000e+00, 8.577069000005722046e+04, 3.400000000139698386e+00, 4.000000000000000000e+00
2.395988290086506605e+08, 8.953413999999997941e+01, 1.000000000000000000e+01, 5.000000000000000000e-01, 8.000000000000000000e+00, 0.000000000000000000e+00, 2.400000000000000000e+02, 1.999999999534338713e-01, 4.899999999906867743e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.883000000892479875e-04, 8.000000000000000000e+01, 4.500000000000000000e+00, 2.844999999865649443e-03, 1.700000000186264515e+00, 4.000000000000000000e+01, 4.458999999883417331e-04, 9.730000000374161573e-05, 3.494670000350197370e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.599999999860301614e+00, 3.000000000000000000e+00, 2.799999999813735485e+00, 1.005999999979394488e-01, 3.029999999780557118e-01, 5.720000000656000338e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+02, 1.399999999948704499e-01, 3.999999999905412551e-02, 2.200000000107138476e-01, 4.899999999906867743e+00, 1.399999999906867743e+00, 3.018999999947845936e+01, 3.829999999922506504e-04, 0.000000000000000000e+00, 6.664000000000669388e-04, 0.000000000000000000e+00, 8.234026799316406250e+05, 2.299999999813735485e+00, 6.000000000000000000e+00
2.601429584192517400e+08, 8.513970000000000482e+01, 3.000000000000000000e+00, 5.999999999767169356e-01, 7.000000000000000000e+00, 0.000000000000000000e+00, 6.000000000000000000e+01, 1.299999999813735485e+00, 3.470000000088475645e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.834999999980936991e-03, 6.000000000000000000e+01, 3.800000000046566129e+00, 1.950000000135787559e-03, 8.999999999068677425e-01, 8.000000000000000000e+00, 1.558740000078273624e-04, 1.000000002804313226e-06, 4.331000000377116521e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00, 4.000000000000000000e+00, 1.829999999981373549e+01, 1.249999999890860636e-02, 1.679999999760184437e-02, 1.012699999973847298e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+01, 0.000000000000000000e+00, 4.000000000000000000e+01, 1.999999999970896170e-01, 3.399999999965075403e-01, 4.000000000382897269e-02, 9.000000000000000000e+00, 1.700000000069849193e+00, 5.634999999776482582e+01, 1.083000000015488240e-03, 0.000000000000000000e+00, 5.580000000087181888e-04, 0.000000000000000000e+00, 7.829292500000000000e+05, 2.999999998137354851e-01, 1.400000000000000000e+01
2.729488760340451002e+08, 8.052347999999997796e+01, 5.000000000000000000e+00, 5.000000000000000000e-01, 2.500000000000000000e+01, 0.000000000000000000e+00, 2.200000000000000000e+02, 6.000000000931322575e-01, 1.422999999970197678e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.849000000030855517e-03, 1.300000000000000000e+02, 1.800000000046566129e+00, 1.319999999850551831e-03, 9.899999999906867743e+00, 8.600000000000000000e+01, 2.328999999932079845e-04, 1.559000000099786121e-04, 3.799999997511349648e-05, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.000000000000000000e+00, 9.000000000000000000e+00, 8.639999992738012224e-03, 6.170000000201980583e-02, 6.209400000079767779e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+01, 0.000000000000000000e+00, 2.000000000000000000e+01, 1.000000000003637979e-01, 6.999999999698047759e-02, 6.600000000048567017e-02, 2.100000000000000000e+01, 7.000000001862645149e-01, 3.911000000014901161e+02, 5.789899999939507325e-04, 0.000000000000000000e+00, 1.585600000009179666e-03, 0.000000000000000000e+00, 8.465499999970197678e+02, 0.000000000000000000e+00, 5.000000000000000000e+00
3.772516581100847721e+08, 8.381463000000000818e+01, 1.300000000000000000e+01, 1.199999999837018549e+00, 7.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.399999999906867743e+00, 3.288999999966472387e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.790000000198688213e-03, 6.000000000000000000e+01, 5.500000000232830644e+00, 7.419999999456194928e-04, 1.750000000000000000e+01, 7.100000000000000000e+01, 1.027099999948433151e-04, 3.442899999868131999e-04, 4.111000000079911842e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.399999999906867743e+00, 4.600000000093132257e+00, 6.700000000186264515e+00, 4.999999999199644662e-03, 6.429999999818392098e-02, 1.764999999868450686e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+01, 2.000000000000000000e+01, 4.000000000000000000e+01, 2.000000001135049388e-02, 2.000000000043655746e-02, 1.999999999270585249e-02, 1.000000000000000000e+01, 1.999999998370185494e-01, 8.425999999996274710e+02, 5.169999997178820195e-05, 0.000000000000000000e+00, 6.200999999741441115e-04, 0.000000000000000000e+00, 3.043243608398437500e+05, 1.099999999860301614e+00, 7.000000000000000000e+00
4.226407058858813643e+08, 8.265903000000000134e+01, 1.000000000000000000e+01, 1.700000000069849193e+00, 1.300000000000000000e+01, 0.000000000000000000e+00, 6.000000000000000000e+01, 2.000000000000000000e+00, 2.578599999979138374e+03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.204000000067708243e-03, 2.700000000000000000e+02, 2.300000000046566129e+00, 7.975999999914051841e-04, 1.299999999813735485e+00, 2.800000000000000000e+01, 1.011000000019635081e-04, 8.370000001889366104e-05, 8.640000000070813257e-04, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.989999999990686774e+01, 1.050000000000000000e+01, 1.200000000186264515e+00, 4.409999999916180968e-02, 8.400000000256113708e-02, 2.199999999902502168e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+01, 1.000000000000000000e+02, 2.000000000000000000e+01, 7.999999999537976691e-02, 2.000000000025465852e-01, 3.199999999969804776e-01, 1.900000000000000000e+01, 8.000000001629814506e-01, 1.158999999985098839e+02, 1.419000000002057504e-03, 0.000000000000000000e+00, 6.838340000001608132e-03, 0.000000000000000000e+00, 5.586571201171875000e+05, 2.400000000139698386e+00, 7.000000000000000000e+00
